file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\serialization\MemoizerTest.java,com.google.devtools.build.lib.skyframe.serialization.MemoizerTest$WrapperWithSharedStringCodec,,8,25,4,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\remote\http\HttpDownloadHandler.java,com.google.devtools.build.lib.remote.http.HttpDownloadHandler,,18,165,31,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\editor\InnerClassesAttributeEditor.java,proguard.classfile.editor.InnerClassesAttributeEditor,,4,23,6,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\serialization\autocodec\InterningObjectCodecGenerator.java,com.google.devtools.build.lib.skyframe.serialization.autocodec.InterningObjectCodecGenerator,,15,38,10,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\bazel\repository\decompressor\CompressedTarFunctionTest.java,com.google.devtools.build.lib.bazel.repository.decompressor.CompressedTarFunctionTest,,9,42,6,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\rules\python\PyRuntimeInfo.java,com.google.devtools.build.lib.rules.python.PyRuntimeInfo$BaseProvider,,5,8,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\graph\Digraph.java,com.google.devtools.build.lib.graph.Digraph,,13,382,90,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\bzlmod\VendorFileFunction.java,com.google.devtools.build.lib.bazel.bzlmod.VendorFileFunction$BadVendorFileException,,0,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\net\starlark\java\eval\ScriptTest.java,net.starlark.java.eval.ScriptTest,,20,232,46,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\TransitiveTraversalValue.java,com.google.devtools.build.lib.skyframe.TransitiveTraversalValue,,13,92,20,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\actions\Artifact.java,com.google.devtools.build.lib.actions.Artifact$SpecialArtifactType,,1,6,0,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\concurrent\PooledInternerTest.java,com.google.devtools.build.lib.concurrent.PooledInternerTest,,8,77,8,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\GlobTestBase.java,com.google.devtools.build.lib.skyframe.GlobTestBase$Anonymous4,,0,26,8,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\GlobTestBase.java,com.google.devtools.build.lib.skyframe.GlobTestBase$Anonymous3,,0,26,8,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\GlobTestBase.java,com.google.devtools.build.lib.skyframe.GlobTestBase$Anonymous2,,3,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\GlobTestBase.java,com.google.devtools.build.lib.skyframe.GlobTestBase$Anonymous1,,3,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\rules\platform\PlatformConfigurationApiTest.java,com.google.devtools.build.lib.rules.platform.PlatformConfigurationApiTest,,8,22,2,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\common\options\testing\ConverterTesterTest.java,com.google.devtools.common.options.testing.ConverterTesterTest$InconsistentHashCodeConverter,,2,8,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\common\options\ShellQuotedParamsFilePreProcessor.java,com.google.devtools.common.options.ShellQuotedParamsFilePreProcessor$ShellQuotedReader,,2,80,18,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\packages\util\MockPlatformSupport.java,com.google.devtools.build.lib.packages.util.MockPlatformSupport,,3,22,4,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\starlark\StarlarkActionFactory.java,com.google.devtools.build.lib.analysis.starlark.StarlarkActionFactory$StarlarkActionContext,,6,14,8,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\ArtifactFunctionTest.java,com.google.devtools.build.lib.skyframe.ArtifactFunctionTest$SimpleActionExecutionFunction,,13,34,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\bzlmod\Selection.java,com.google.devtools.build.lib.bazel.bzlmod.Selection,,17,149,28,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\net\starlark\java\eval\Dict.java,net.starlark.java.eval.Dict$ImmutableKeyTrackingDict,,6,32,8,,,,,,,,,
C:\oodass1\projects\bazel\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\SimpleJavaLibraryBuilder.java,com.google.devtools.build.buildjar.SimpleJavaLibraryBuilder,,13,152,32,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\packages\Attribute.java,com.google.devtools.build.lib.packages.Attribute$AbstractLabelLateBoundDefault,,4,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\util\io\StreamMultiplexer.java,com.google.devtools.build.lib.util.io.StreamMultiplexer$MarkingStream,,1,22,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\common\options\OptionInstanceOrigin.java,com.google.devtools.common.options.OptionInstanceOrigin,,3,24,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\serialization\WriteStatuses.java,com.google.devtools.build.lib.skyframe.serialization.WriteStatuses$WriteStatus$AggregateWriteStatus,,6,28,8,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\starlark\StarlarkCustomCommandLine.java,com.google.devtools.build.lib.analysis.starlark.StarlarkCustomCommandLine$JoinedPreprocessedVectorArg,,6,42,10,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\query2\DepsUnboundedVisitor.java,com.google.devtools.build.lib.query2.DepsUnboundedVisitor$Factory,,10,19,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\runtime\ExecutionGraphModule.java,com.google.devtools.build.lib.runtime.ExecutionGraphModule$DependencyInfo,,0,1,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\pkgcache\TargetPatternResolverUtil.java,com.google.devtools.build.lib.pkgcache.TargetPatternResolverUtil,,7,34,11,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\profiler\AutoProfilerTest.java,com.google.devtools.build.lib.profiler.AutoProfilerTest$Anonymous1,,0,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\packages\ConfigurationFragmentPolicyTest.java,com.google.devtools.build.lib.packages.ConfigurationFragmentPolicyTest$OtherFragment,,2,2,0,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\SpecificIntegerValue.java,proguard.evaluation.value.SpecificIntegerValue,,16,239,90,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\ClassDataEntryWriter.java,proguard.io.ClassDataEntryWriter,,6,50,11,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\shrink\UsageMarker.java,proguard.shrink.UsageMarker$MyNonEmptyMethodUsageMarker,,7,9,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\repository\RequestRepositoryInformationEvent.java,com.google.devtools.build.lib.repository.RequestRepositoryInformationEvent,,1,9,2,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\LineWordReader.java,proguard.LineWordReader,,1,26,6,,,,,,,,,
C:\oodass1\projects\bazel\third_party\ijar\test\PrivateMembersClass.java,PrivateMembersClass$PrivateStaticInnerClass,,0,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\VanillaJavaBuilder.java,com.google.devtools.build.buildjar.VanillaJavaBuilder$VanillaJavaBuilderResult,,0,14,3,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\config\ParsedFlagsValueTest.java,com.google.devtools.build.lib.skyframe.config.ParsedFlagsValueTest,,11,80,9,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\preverification\ObjectType.java,proguard.classfile.attribute.preverification.ObjectType,,6,33,11,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\actions\ActionLookupData.java,com.google.devtools.build.lib.actions.ActionLookupData,,8,142,15,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\starlarkbuildapi\LateBoundDefaultApi.java,com.google.devtools.build.lib.starlarkbuildapi.LateBoundDefaultApi,,2,2,0,,,,,,,,,
C:\oodass1\projects\bazel\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\javac\BlazeJavacArguments.java,com.google.devtools.build.buildjar.javac.BlazeJavacArguments$Builder,,5,19,17,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\GlobsFunctionTest.java,com.google.devtools.build.lib.skyframe.GlobsFunctionTest,,18,67,11,,,,,,,,,
